   TIME              V(OUT)          V(IN)               
   5.8510385E-07     7.9206482E-02   0.0000000E+00
   5.8515649E-07     7.8784950E-02   0.0000000E+00
   5.8526178E-07     7.9199813E-02   0.0000000E+00
   5.8547235E-07     7.8799739E-02   0.0000000E+00
   5.8586751E-07     7.9193167E-02   0.0000000E+00
   5.8665782E-07     7.8799643E-02   0.0000000E+00
   5.8823843E-07     7.9193324E-02   0.0000000E+00
   5.9139967E-07     7.8800142E-02   0.0000000E+00
   5.9772213E-07     7.9193093E-02   0.0000000E+00
   6.0400000E-07     7.8790575E-02   5.5834691E-14
   6.0450000E-07     7.8980312E-02   4.4999999E-01
   6.0550000E-07     7.8981876E-02   1.3500000E+00
   6.0750000E-07     7.8979723E-02   3.1500001E+00
   6.0900000E-07     7.8980148E-02   4.5000000E+00
   6.0940000E-07     7.8979939E-02   4.5000000E+00
   6.1020000E-07     7.8979939E-02   4.5000000E+00
   6.1180000E-07     7.8979939E-02   4.5000000E+00
   6.1500000E-07     7.8979939E-02   4.5000000E+00
   6.1527968E-07     9.0940714E-02   4.5000000E+00
   6.1583904E-07     3.7102077E+00   4.5000000E+00
   6.1624424E-07     5.4373107E+00   4.5000000E+00
   6.1661968E-07     4.8666697E+00   4.5000000E+00
   6.1694815E-07     5.0324111E+00   4.5000000E+00
   6.1732072E-07     4.9902315E+00   4.5000000E+00
   6.1789086E-07     5.0046949E+00   4.5000000E+00
   6.1884559E-07     4.9969316E+00   4.5000000E+00
   6.2075506E-07     5.0024867E+00   4.5000000E+00
   6.2457398E-07     4.9977608E+00   4.5000000E+00
   6.3221184E-07     5.0021248E+00   4.5000000E+00
   6.4748754E-07     4.9979300E+00   4.5000000E+00
   6.6748754E-07     5.0020289E+00   4.5000000E+00
   6.6900000E-07     4.9984450E+00   4.5000000E+00
   6.6950000E-07     4.9997406E+00   4.0500002E+00
   6.7050000E-07     5.0001726E+00   3.1500001E+00
   6.7250000E-07     4.9998589E+00   1.3500000E+00
   6.7400000E-07     5.0001082E+00   0.0000000E+00
   6.7440000E-07     5.0000215E+00   0.0000000E+00
   6.7520000E-07     4.9999871E+00   0.0000000E+00
   6.7680000E-07     5.0000100E+00   0.0000000E+00
   6.8000000E-07     4.9999909E+00   0.0000000E+00
   6.8400000E-07     5.0000081E+00   0.0000000E+00
   6.8440000E-07     4.9999228E+00   0.0000000E+00
   6.8500000E-07     8.7375507E-02   0.0000000E+00
   6.8501929E-07     7.9218678E-02   0.0000000E+00
   6.8505786E-07     7.8754269E-02   0.0000000E+00
   6.8510385E-07     7.9206482E-02   0.0000000E+00
   6.8515649E-07     7.8784950E-02   0.0000000E+00
   6.8526178E-07     7.9199813E-02   0.0000000E+00
   6.8547235E-07     7.8799739E-02   0.0000000E+00
   6.8586751E-07     7.9193167E-02   0.0000000E+00
   6.8665782E-07     7.8799643E-02   0.0000000E+00
   6.8823843E-07     7.9193324E-02   0.0000000E+00
   6.9139967E-07     7.8800142E-02   0.0000000E+00
   6.9772213E-07     7.9193093E-02   0.0000000E+00
   7.0400000E-07     7.8790575E-02   5.5834691E-14
   7.0450000E-07     7.8980312E-02   4.4999999E-01
   7.0550000E-07     7.8981876E-02   1.3500000E+00
   7.0750000E-07     7.8979723E-02   3.1500001E+00
   7.0900000E-07     7.8980148E-02   4.5000000E+00
   7.0940000E-07     7.8979939E-02   4.5000000E+00
   7.1020000E-07     7.8979939E-02   4.5000000E+00
   7.1180000E-07     7.8979939E-02   4.5000000E+00
   7.1500000E-07     7.8979939E-02   4.5000000E+00
   7.1527968E-07     9.0940714E-02   4.5000000E+00
   7.1583904E-07     3.7102077E+00   4.5000000E+00
   7.1624424E-07     5.4373107E+00   4.5000000E+00
   7.1661968E-07     4.8666697E+00   4.5000000E+00
   7.1694815E-07     5.0324111E+00   4.5000000E+00
   7.1732072E-07     4.9902315E+00   4.5000000E+00
   7.1789086E-07     5.0046949E+00   4.5000000E+00
   7.1884559E-07     4.9969316E+00   4.5000000E+00
   7.2075506E-07     5.0024867E+00   4.5000000E+00
   7.2457398E-07     4.9977608E+00   4.5000000E+00
   7.3221184E-07     5.0021248E+00   4.5000000E+00
   7.4748754E-07     4.9979300E+00   4.5000000E+00
   7.6748754E-07     5.0020289E+00   4.5000000E+00
   7.6900000E-07     4.9984450E+00   4.5000000E+00
   7.6950000E-07     4.9997406E+00   4.0500002E+00
   7.7050000E-07     5.0001726E+00   3.1500001E+00
   7.7250000E-07     4.9998589E+00   1.3500000E+00
   7.7400000E-07     5.0001082E+00   0.0000000E+00
   7.7440000E-07     5.0000215E+00   0.0000000E+00
   7.7520000E-07     4.9999871E+00   0.0000000E+00
   7.7680000E-07     5.0000100E+00   0.0000000E+00
   7.8000000E-07     4.9999909E+00   0.0000000E+00
   7.8400000E-07     5.0000081E+00   0.0000000E+00
   7.8440000E-07     4.9999228E+00   0.0000000E+00
   7.8500000E-07     8.7375507E-02   0.0000000E+00
   7.8501929E-07     7.9218678E-02   0.0000000E+00
   7.8505786E-07     7.8754269E-02   0.0000000E+00
   7.8510385E-07     7.9206482E-02   0.0000000E+00
   7.8515649E-07     7.8784950E-02   0.0000000E+00
   7.8526178E-07     7.9199813E-02   0.0000000E+00
   7.8547235E-07     7.8799739E-02   0.0000000E+00
   7.8586751E-07     7.9193167E-02   0.0000000E+00
   7.8665782E-07     7.8799643E-02   0.0000000E+00
   7.8823843E-07     7.9193324E-02   0.0000000E+00
   7.9139967E-07     7.8800142E-02   0.0000000E+00
   7.9772213E-07     7.9193093E-02   0.0000000E+00
   8.0400000E-07     7.8790575E-02   5.5834691E-14
   8.0450000E-07     7.8980312E-02   4.4999999E-01
   8.0550000E-07     7.8981876E-02   1.3500000E+00
   8.0750000E-07     7.8979723E-02   3.1500001E+00
   8.0900000E-07     7.8980148E-02   4.5000000E+00
   8.0940000E-07     7.8979939E-02   4.5000000E+00
   8.1020000E-07     7.8979939E-02   4.5000000E+00
   8.1180000E-07     7.8979939E-02   4.5000000E+00
   8.1500000E-07     7.8979939E-02   4.5000000E+00
   8.1527968E-07     9.0940714E-02   4.5000000E+00
   8.1583904E-07     3.7102077E+00   4.5000000E+00
   8.1624424E-07     5.4373107E+00   4.5000000E+00
   8.1661968E-07     4.8666697E+00   4.5000000E+00
   8.1694815E-07     5.0324111E+00   4.5000000E+00
   8.1732072E-07     4.9902315E+00   4.5000000E+00
   8.1789086E-07     5.0046949E+00   4.5000000E+00
   8.1884559E-07     4.9969316E+00   4.5000000E+00
   8.2075506E-07     5.0024867E+00   4.5000000E+00
   8.2457398E-07     4.9977608E+00   4.5000000E+00
   8.3221184E-07     5.0021248E+00   4.5000000E+00
   8.4748754E-07     4.9979300E+00   4.5000000E+00
   8.6748754E-07     5.0020289E+00   4.5000000E+00
   8.6900000E-07     4.9984450E+00   4.5000000E+00
   8.6950000E-07     4.9997406E+00   4.0500002E+00
   8.7050000E-07     5.0001726E+00   3.1500001E+00
   8.7250000E-07     4.9998589E+00   1.3500000E+00
   8.7400000E-07     5.0001082E+00   0.0000000E+00
   8.7440000E-07     5.0000215E+00   0.0000000E+00
   8.7520000E-07     4.9999871E+00   0.0000000E+00
   8.7680000E-07     5.0000100E+00   0.0000000E+00
   8.8000000E-07     4.9999909E+00   0.0000000E+00
   8.8400000E-07     5.0000081E+00   0.0000000E+00
   8.8440000E-07     4.9999228E+00   0.0000000E+00
   8.8500000E-07     8.7375507E-02   0.0000000E+00
   8.8501929E-07     7.9218678E-02   0.0000000E+00
   8.8505786E-07     7.8754269E-02   0.0000000E+00
   8.8510385E-07     7.9206482E-02   0.0000000E+00
   8.8515649E-07     7.8784950E-02   0.0000000E+00
   8.8526178E-07     7.9199813E-02   0.0000000E+00
   8.8547235E-07     7.8799739E-02   0.0000000E+00
   8.8586751E-07     7.9193167E-02   0.0000000E+00
   8.8665782E-07     7.8799643E-02   0.0000000E+00
   8.8823843E-07     7.9193324E-02   0.0000000E+00
   8.9139967E-07     7.8800142E-02   0.0000000E+00
   8.9772213E-07     7.9193093E-02   0.0000000E+00
   9.0400000E-07     7.8790575E-02   5.5834691E-14
   9.0450000E-07     7.8980312E-02   4.4999999E-01
   9.0550000E-07     7.8981876E-02   1.3500000E+00
   9.0750000E-07     7.8979723E-02   3.1500001E+00
   9.0900000E-07     7.8980148E-02   4.5000000E+00
   9.0940000E-07     7.8979939E-02   4.5000000E+00
   9.1020000E-07     7.8979939E-02   4.5000000E+00
   9.1180000E-07     7.8979939E-02   4.5000000E+00
   9.1500000E-07     7.8979939E-02   4.5000000E+00
   9.1527968E-07     9.0940714E-02   4.5000000E+00
   9.1583904E-07     3.7102077E+00   4.5000000E+00
   9.1624424E-07     5.4373107E+00   4.5000000E+00
   9.1661968E-07     4.8666697E+00   4.5000000E+00
   9.1694815E-07     5.0324111E+00   4.5000000E+00
   9.1732072E-07     4.9902315E+00   4.5000000E+00
   9.1789086E-07     5.0046949E+00   4.5000000E+00
   9.1884559E-07     4.9969316E+00   4.5000000E+00
   9.2075506E-07     5.0024867E+00   4.5000000E+00
   9.2457398E-07     4.9977608E+00   4.5000000E+00
   9.3221184E-07     5.0021248E+00   4.5000000E+00
   9.4748754E-07     4.9979300E+00   4.5000000E+00
   9.6748754E-07     5.0020289E+00   4.5000000E+00
   9.6900000E-07     4.9984450E+00   4.5000000E+00
   9.6950000E-07     4.9997406E+00   4.0500002E+00
   9.7050000E-07     5.0001726E+00   3.1500001E+00
   9.7250000E-07     4.9998589E+00   1.3500000E+00
   9.7400000E-07     5.0001082E+00   0.0000000E+00
   9.7440000E-07     5.0000215E+00   0.0000000E+00
